Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1826-0049,MSP,,4.590844e-03,,,,,2.931305e+01,5.215157e+00,1.298000e+00,4.267400e+01,,2.127684e+03,ELL1,,,1.486607e-06,,,,,,
J1826-2415,MSP,4.285702e+09,4.695757e-03,1.736000e-20,2.889200e+08,,,8.553222e+00,-5.718017e+00,2.753000e+00,8.186250e+01,,,,,,,,,,,,
J1827-0849,NRAD,3.242665e+09,2.242470e-03,1.095697e-20,1.586202e+08,,,,,,,,,,,,,,,,,,
J1828+0625,MSP,1.225948e+10,3.627563e-03,4.688232e-21,1.319660e+08,,,3.606929e+01,8.014109e+00,1.000000e+00,2.241650e+01,,6.788030e+01,DD,,,9.795000e-05,,,,,,
J1832-0836,MSP,5.206929e+09,2.719112e-03,8.273923e-21,1.517816e+08,,,2.310853e+01,2.564965e-01,1.428561e+00,2.819086e+01,,1.555510e+02,,,,,,,,,,
J1833-3840,HE,1.667113e+09,1.866067e-03,1.773488e-20,1.840890e+08,,,3.560110e+02,-1.325998e+01,4.653000e+00,7.866000e+01,,,ELL1,,,,,,,,,
J1835-0114,MSP,1.158061e+10,5.116388e-03,7.000000e-21,1.915053e+08,,,2.999043e+01,3.007125e+00,3.456000e+00,9.820000e+01,,,BT,,,1.100000e-05,,,,,,
J1835-3259A,MSP,,3.889000e-03,,,,,1.531854e+00,-1.137147e+01,9.460000e+00,6.335000e+01,,3.115778e+02,,,,,,,,,,
J1835-3259B,HE,6.678415e+08,1.830293e-03,4.342235e-20,2.852771e+08,,,1.533953e+00,-1.137618e+01,9.460000e+00,6.350830e+01,,3.115778e+02,ELL1,,,3.482815e-05,,,,,,
J1836-2354A,MSP,2.292763e+10,3.354336e-03,2.318000e-21,8.922981e+07,,,9.885974e+00,-7.561136e+00,3.300000e+00,8.910700e+01,,1.774242e+02,BT,,,0.000000e+00,,,,,,
J1836-2354B,MSP,,3.232274e-03,-4.800000e-22,,,,9.890052e+00,-7.554478e+00,3.300000e+00,9.330000e+01,,1.774242e+02,,,,,,,,,,
J1838+0022g,MSP,,5.090000e-03,,,,,3.177107e+01,3.067931e+00,4.071000e+00,1.226000e+02,,,,,,,,,,,,
J1840+0012g,MSP,,5.340000e-03,,,,,3.189858e+01,2.454282e+00,3.515000e+00,1.009000e+02,,,,,,,,,,,,
J1840-09,MSP,,3.089101e-03,,,,,2.314224e+01,-1.988253e+00,3.711000e+00,1.690000e+02,,,,,,,,,,,,
J1843-1113,HE,3.059769e+09,1.845666e-03,9.557198e-21,1.343977e+08,,,2.205469e+01,-3.396773e+00,1.300000e+00,5.996200e+01,,2.218781e+01,,,,,,,,,,
J1843-1448,MSP,1.396167e+10,5.471331e-03,6.209000e-21,1.865122e+08,,,1.878185e+01,-4.871415e+00,3.473000e+00,1.145440e+02,,2.625440e+02,,,,,,,,,,
J1844+0028g,MSP,,3.570000e-03,,,,,3.257960e+01,1.740273e+00,4.570000e+00,1.812000e+02,,,,,,,,,,,,
J1844+0115,MSP,6.185328e+09,4.185544e-03,1.072149e-20,2.143648e+08,,,3.328264e+01,2.078789e+00,4.357000e+00,1.482000e+02,,,ELL1,,,2.578447e-04,,,,,,
J1847+01,MSP,,3.463071e-03,,,,,3.351862e+01,1.523522e+00,8.930000e-01,2.010000e+01,,,,,,,,,,,,
