Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1748-2446E,,,2.197800e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.366300e+02,,1.759187e+02,BT,,,2.000000e-02,,,,,,
J1748-2446F,,,5.540140e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.390700e+02,,1.759187e+02,,,,,,,,,,
J1748-2446G,,,2.167187e-02,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.373400e+02,,1.759187e+02,,,,,,,,,,
J1748-2446H,,,4.925890e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.379700e+02,,1.759187e+02,,,,,,,,,,
J1748-2446I,,,9.570190e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.385500e+02,,1.759187e+02,BT,,,4.280000e-01,,,,,,
J1748-2446J,,,8.033793e-02,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.342100e+02,,1.759187e+02,BT,,,3.500000e-01,,,,,,
J1748-2446K,,,2.969650e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.344600e+02,,1.759187e+02,,,,,,,,,,
J1748-2446L,,,2.244700e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.375000e+02,,1.759187e+02,,,,,,,,,,
J1748-2446M,,,3.569570e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.384900e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446N,,,8.666900e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.382900e+02,,1.759187e+02,BT,,,4.500000e-05,,,,,,
J1748-2446O,,,1.676630e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.362000e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446P,,,1.728620e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.387900e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446Q,,,2.812000e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.342400e+02,,1.759187e+02,BT,,,7.220000e-01,,,,,,
J1748-2446R,,,5.028540e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.373800e+02,,1.759187e+02,,,,,,,,,,
J1748-2446S,,,6.116640e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.362200e+02,,1.759187e+02,,,,,,,,,,
J1748-2446T,,,7.084910e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.378000e+02,,1.759187e+02,,,,,,,,,,
J1748-2446U,,,3.289140e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.354700e+02,,1.759187e+02,BT,,,6.049800e-01,,,,,,
J1748-2446V,,,2.072510e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.387100e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446W,,,4.205180e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.389200e+02,,1.759187e+02,BT,,,1.500000e-02,,,,,,
J1748-2446X,,,2.999260e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.398100e+02,,1.759187e+02,BT,,,3.024000e-01,,,,,,
J1748-2446Y,,,2.048160e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.387900e+02,,1.759187e+02,BT,,,2.000000e-05,,,,,,
J1748-2446Z,,,2.462590e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.387700e+02,,1.759187e+02,BT,,,7.608000e-01,,,,,,
J1748-2446aa,,,5.788040e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.374300e+02,,1.759187e+02,,,,,,,,,,
J1748-2446ab,,,5.119710e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.421500e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446ac,,,5.086910e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.386900e+02,,1.759187e+02,,,,,,,,,,
J1748-2446ad,,,1.395955e-03,0.000000e+00,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.356000e+02,,1.759187e+02,ELL1,,,0.000000e+00,,,,,,
