Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1915+1145,,1.797044e+08,1.736472e-01,1.531000e-17,5.217608e+10,,,4.612868e+01,8.242287e-02,7.150000e+00,3.375000e+02,,,,,,,,,,,,
J1915+1150,,1.159427e+05,1.000410e-01,1.367100e-14,1.183420e+12,,,4.616973e+01,1.800942e-01,1.400300e+01,6.997000e+02,,,,,,,,,,,,
J1915+1410,,9.630803e+07,2.974941e-01,4.894202e-17,1.221041e+11,,,4.827483e+01,1.200134e+00,7.128000e+00,2.737000e+02,,,,,,,,,,,,
J1915+1606,,1.085217e+08,5.903000e-02,8.618316e-18,2.282431e+10,,,4.996765e+01,2.121891e+00,4.166636e+00,1.687000e+02,,1.423513e+01,DDH,,,6.171340e-01,,,,,,
J1915+1647,,6.315155e+07,1.616231e+00,4.054951e-16,8.192087e+11,,,5.055231e+01,2.467985e+00,2.194000e+00,6.250000e+01,,,,,,,,,,,,
J1915-11,RRAT,,2.177000e+00,,,,,2.524426e+01,-1.039379e+01,5.495000e+00,9.106000e+01,,,,,,,,,,,,
J1916+0741g,,,1.122000e-02,,,,,4.260245e+01,-1.975084e+00,8.442000e+00,2.201000e+02,,,,,,,,,,,,
J1916+0748,,8.016011e+05,5.417521e-01,1.070800e-14,2.437275e+12,,,4.277209e+01,-2.046893e+00,1.177800e+01,3.040000e+02,,,,,,,,,,,,
J1916+07481,,6.941311e+07,8.678805e-01,1.981000e-16,4.195871e+11,,,4.280096e+01,-2.075556e+00,6.455000e+00,1.534000e+02,,,,,,,,,,,,
J1916+0844,,2.403801e+06,4.399971e-01,2.900129e-15,1.143098e+12,,,4.353796e+01,-1.493186e+00,1.100600e+01,3.392485e+02,,,,,,,,,,,,
J1916+0852,,2.639552e+06,2.182746e+00,1.310205e-14,5.411543e+12,,,4.367377e+01,-1.447521e+00,9.387000e+00,2.950000e+02,,,,,,,,,,,,
J1916+0937g,RRAT,,7.368000e+00,,,,,4.428362e+01,-1.017090e+00,5.457000e+00,1.860000e+02,,,,,,,,,,,,
J1916+0951,,1.698835e+06,2.702565e-01,2.520525e-15,8.351867e+11,,,4.455646e+01,-1.018943e+00,1.903000e+00,6.092169e+01,,0.000000e+00,,,,,,,,,,
J1916+1023,,3.765505e+07,1.618339e+00,6.809454e-16,1.062285e+12,,,4.503149e+01,-7.899291e-01,7.894000e+00,3.433000e+02,,,,,,,,,,,,
J1916+1030,,2.865810e+08,6.289698e-01,3.477350e-17,1.496543e+11,,,4.509879e+01,-6.378680e-01,8.147000e+00,3.872000e+02,,,,,,,,,,,,
J1916+10305,,,3.493800e-01,,,,,4.515134e+01,-7.688782e-01,1.136700e+01,5.207000e+02,,,,,,,,,,,,
J1916+1142Ag,RRAT,,,,,,,4.623764e+01,-2.561602e-01,6.135000e+00,2.600000e+02,,,,,,,,,,,,
J1916+1142Bg,RRAT,,1.188000e+00,,,,,4.623764e+01,-2.561602e-01,6.987000e+00,3.180000e+02,,,,,,,,,,,,
J1916+1225,,1.536244e+05,2.273875e-01,2.345160e-14,2.336789e+12,,,4.681085e+01,2.254454e-01,6.487000e+00,2.653100e+02,,,,,,,,,,,,
J1916+1312,,1.224228e+06,2.818455e-01,3.647663e-15,1.026037e+12,,,4.757606e+01,4.512942e-01,4.500000e+00,2.370090e+02,,,,,,,,,,,,
J1916+3224,,5.194203e+06,1.137450e+00,3.469600e-15,2.010277e+12,,,6.462697e+01,9.430097e+00,7.946000e+00,8.411000e+01,,,,,,,,,,,,
J1916+38,,,5.140000e-01,,,,,7.052575e+01,1.212377e+01,8.426000e+00,7.700000e+01,,,,,,,,,,,,
J1916-2939,,1.590157e+07,1.248617e+00,1.244100e-15,1.261224e+12,,,8.244987e+00,-1.807040e+01,1.600000e+00,3.834000e+01,,,,,,,,,,,,
J1917+0743g,,2.873665e+08,8.134532e-01,4.485000e-17,1.932847e+11,,,4.276859e+01,-2.209265e+00,8.231000e+00,1.989000e+02,,,,,,,,,,,,
J1917+0834,,1.928925e+06,2.129676e+00,1.749300e-14,6.176450e+12,,,4.357458e+01,-1.891998e+00,1.231000e+00,2.918000e+01,,,,,,,,,,,,
J1917+08340,RRAT,,2.933000e+00,,,,,4.347495e+01,-1.735499e+00,3.472000e+00,1.010000e+02,,,,,,,,,,,,
J1917+1046g,,,8.773000e-02,,,,,4.551910e+01,-8.943169e-01,4.866000e+00,1.631000e+02,,,,,,,,,,,,
J1917+1121g,,,5.103100e-01,,,,,4.598146e+01,-5.206233e-01,7.078000e+00,3.035000e+02,,,,,,,,,,,,
J1917+1259g,,,5.630000e-03,,,,,4.742958e+01,2.349208e-01,3.637000e+00,1.170000e+02,,,,,,,,,,,,
J1917+1353,,4.285616e+05,1.946370e-01,7.195784e-15,1.197572e+12,,,4.825989e+01,6.240233e-01,8.000000e+00,9.459994e+01,,2.275664e+02,,,,,,,,,,
J1917+1411g,,,4.464600e-01,,,,,4.848511e+01,8.059721e-01,3.968000e+00,1.234000e+02,,,,,,,,,,,,
